model,prompt_num,shot_type,year,qa_relevance,ca_relevance,fluency_ppl,formality_mtld,readability_flesch,correctness_ner,judge_correctness,judge_relevance,judge_human_likeness,n,source
claude-sonnet-4-6,1,few,2026,0.08908865744390389,0.3396244411739172,0.8809424876949105,25.858785926762412,31.75241190115948,0.7454838709677419,,,,124,2026
claude-sonnet-4-6,2,few,2026,0.13901375456248044,0.332777962309886,0.7790128535750632,43.38440365533163,31.518327768300985,0.7851612903225806,,,,124,2026
claude-sonnet-4-6,3,few,2026,0.20381019187581537,0.2589521846787633,0.8399791382060328,55.386909376018245,26.651697224926195,0.7670967741935484,,,,124,2026
claude-sonnet-4-6,4,few,2026,0.0689360142558685,0.34021124297047356,0.9022731058055615,15.392613752940369,36.67652854033256,0.7495161290322582,,,,124,2026
gpt-4o,1,few,2026,0.07559236651181304,0.2766112374133402,0.8991194506245447,20.287034011672805,32.84540469101174,0.6690322580645159,,,,124,2026
gpt-4o,2,few,2026,0.10504983999320547,0.21864136088044084,0.902976738122272,20.897880171960356,32.481593239127555,0.5792741935483869,,,,124,2026
gpt-4o,3,few,2026,0.26645571594107614,0.2230053320096536,0.8735561192548414,42.96758240247711,28.67649200270169,0.7038709677419354,,,,124,2026
gpt-4o,4,few,2026,0.06332082734374238,0.30199468425101755,0.9076357995268118,12.342528969157435,31.498576081516955,0.6813709677419355,,,,124,2026
llama-3.3-70b,1,few,2026,0.08158683620685381,0.28762608483968727,0.8848604335794714,21.94324289681692,34.409677915564394,0.7259677419354839,,,,124,2026
llama-3.3-70b,2,few,2026,0.11881232644874076,0.29461715498451135,0.8433011713334004,33.565005336413954,37.604804220376884,0.7691129032258066,,,,124,2026
llama-3.3-70b,3,few,2026,0.24520625815348962,0.2190566764308989,0.8175459938598573,56.80925470984409,25.456785965907788,0.7618548387096773,,,,124,2026
llama-3.3-70b,4,few,2026,0.09540913282275411,0.28051158029184137,0.8988435896436661,19.77172637922504,34.72031316395826,0.705,,,,124,2026
