model,prompt_num,shot_type,year,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1_f,rouge_2_f,rouge_l_f,meteor,bertscore_p,bertscore_r,bertscore_f1,n,source,note
claude-sonnet-4-6,1,few,2026,0.46275637907341255,0.3817665236546458,0.33073703220049117,0.29643582679533037,0.3399990760956762,0.22927596072576126,0.33342781482179557,0.5561613797291116,0.3396244411739172,0.3396244411739172,0.3396244411739172,124,2026,bertscore=tfidf_cosine_proxy
claude-sonnet-4-6,2,few,2026,0.3695803861046182,0.2844114008539069,0.23544259544079119,0.2010636127742299,0.2697435318959949,0.15431000372618986,0.25686231047762864,0.5123176014700552,0.332777962309886,0.332777962309886,0.332777962309886,124,2026,bertscore=tfidf_cosine_proxy
claude-sonnet-4-6,3,few,2026,0.3476208849042867,0.25853125635206536,0.20240086039445165,0.16093432739881994,0.33683191270824564,0.20468497110056397,0.31511848503998036,0.4986584028559624,0.2589521846787633,0.2589521846787633,0.2589521846787633,124,2026,bertscore=tfidf_cosine_proxy
claude-sonnet-4-6,4,few,2026,0.44034663632797627,0.359709775931697,0.30876052558035433,0.2708855078863208,0.3030731542548996,0.19206655556526678,0.29982810430792867,0.5237536964567677,0.34021124297047356,0.34021124297047356,0.34021124297047356,124,2026,bertscore=tfidf_cosine_proxy
gpt-4o,1,few,2026,0.38492202757455085,0.307244802037567,0.26909576525008133,0.24301655091499316,0.28188527771161626,0.19171786525716394,0.2747961689439513,0.4593477180358686,0.2766112374133402,0.2766112374133402,0.2766112374133402,124,2026,bertscore=tfidf_cosine_proxy
gpt-4o,2,few,2026,0.30896885319064776,0.23067694668994773,0.1866200477862046,0.1532694935744995,0.31162851716176637,0.18641203099623846,0.30136118961795605,0.3676097821390411,0.21864136088044084,0.21864136088044084,0.21864136088044084,124,2026,bertscore=tfidf_cosine_proxy
gpt-4o,3,few,2026,0.3447919103619312,0.24587092965043214,0.19148098535971306,0.15210391652532526,0.3305081672361716,0.19129922286317227,0.3123794407778938,0.46765959719466493,0.2230053320096536,0.2230053320096536,0.2230053320096536,124,2026,bertscore=tfidf_cosine_proxy
gpt-4o,4,few,2026,0.41531597629694184,0.34705671714611136,0.30724299257445203,0.27713261246873033,0.30440382710001873,0.21616248756176215,0.30292746594653025,0.5003864431224249,0.30199468425101755,0.30199468425101755,0.30199468425101755,124,2026,bertscore=tfidf_cosine_proxy
llama-3.3-70b,1,few,2026,0.49435308574095077,0.4003797742620746,0.3524622104266772,0.30568456049115283,0.4657447868349822,0.34237606123642306,0.45516245649693204,0.5262530963737483,0.28762608483968727,0.28762608483968727,0.28762608483968727,124,2026,bertscore=tfidf_cosine_proxy
llama-3.3-70b,2,few,2026,0.47766903376294073,0.3804154603678693,0.313305527530948,0.2536955546878239,0.44245975581358005,0.2962909377343545,0.41851606498589555,0.5373791964599015,0.29461715498451135,0.29461715498451135,0.29461715498451135,124,2026,bertscore=tfidf_cosine_proxy
llama-3.3-70b,3,few,2026,0.30739968117419075,0.22585551631345277,0.17878787609868904,0.14286147055938858,0.29032544014250633,0.16610529279610248,0.26508241781085207,0.46119708723819325,0.2190566764308989,0.2190566764308989,0.2190566764308989,124,2026,bertscore=tfidf_cosine_proxy
llama-3.3-70b,4,few,2026,0.502053928750477,0.3982704301934052,0.3439426477333069,0.29372287449721,0.4517715689692656,0.3191048767588442,0.4427281294037517,0.501034834355198,0.28051158029184137,0.28051158029184137,0.28051158029184137,124,2026,bertscore=tfidf_cosine_proxy
