model,year,prompt_num,shot_type,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1_f,rouge_2_f,rouge_l_f,meteor,bertscore_p,bertscore_r,bertscore_f1,n,source
GPT-3.5-Turbo,2023,P4,few,0.421,0.312,0.241,0.187,0.389,0.198,0.367,0.298,0.871,0.863,0.867,(paper),original_paper
LLaMA-2-7B,2023,P4,few,0.298,0.201,0.148,0.107,0.301,0.134,0.282,0.223,0.841,0.835,0.838,(paper),original_paper
Claude Sonnet 4-6,2026,P1,few,0.4628,0.3818,0.3307,0.2964,0.34,0.2293,0.3334,0.5562,0.3396,0.3396,0.3396,124,computed_2026
Claude Sonnet 4-6,2026,P2,few,0.3696,0.2844,0.2354,0.2011,0.2697,0.1543,0.2569,0.5123,0.3328,0.3328,0.3328,124,computed_2026
Claude Sonnet 4-6,2026,P3,few,0.3476,0.2585,0.2024,0.1609,0.3368,0.2047,0.3151,0.4987,0.259,0.259,0.259,124,computed_2026
Claude Sonnet 4-6,2026,P4,few,0.4403,0.3597,0.3088,0.2709,0.3031,0.1921,0.2998,0.5238,0.3402,0.3402,0.3402,124,computed_2026
GPT-4o,2026,P1,few,0.3849,0.3072,0.2691,0.243,0.2819,0.1917,0.2748,0.4593,0.2766,0.2766,0.2766,124,computed_2026
GPT-4o,2026,P2,few,0.309,0.2307,0.1866,0.1533,0.3116,0.1864,0.3014,0.3676,0.2186,0.2186,0.2186,124,computed_2026
GPT-4o,2026,P3,few,0.3448,0.2459,0.1915,0.1521,0.3305,0.1913,0.3124,0.4677,0.223,0.223,0.223,124,computed_2026
GPT-4o,2026,P4,few,0.4153,0.3471,0.3072,0.2771,0.3044,0.2162,0.3029,0.5004,0.302,0.302,0.302,124,computed_2026
llama-3.3-70b,2026,P1,few,0.4944,0.4004,0.3525,0.3057,0.4657,0.3424,0.4552,0.5263,0.2876,0.2876,0.2876,124,computed_2026
llama-3.3-70b,2026,P2,few,0.4777,0.3804,0.3133,0.2537,0.4425,0.2963,0.4185,0.5374,0.2946,0.2946,0.2946,124,computed_2026
llama-3.3-70b,2026,P3,few,0.3074,0.2259,0.1788,0.1429,0.2903,0.1661,0.2651,0.4612,0.2191,0.2191,0.2191,124,computed_2026
llama-3.3-70b,2026,P4,few,0.5021,0.3983,0.3439,0.2937,0.4518,0.3191,0.4427,0.501,0.2805,0.2805,0.2805,124,computed_2026
